Diretores
Alfonso Cuarón
Ed Perkins
Mani Ratnam
Carlos Algara
Alejandro Martinez-Beltran
Bong Joon Ho
Roberto Leoni
Alan Hicks
Rashida Jones
Petra Costa
Roland Emmerich
Stanley Nelson
Orlando von Einsiedel
Robin Aubert
Paco Plaza
Alexandre Espigares
Brad Silberling
Edward Zwick
Craig Bartholomew Strydom
Allen Coulter
Ashwin Saravanan
Ivan Ayr
Myles Kane
Josh Koury
Scott Stewart
Shubzz
Vikram Gandhi
Juan José Campanella
Todd Phillips
Jeff Nichols
Sam Feder
Paul W.S. Anderson
Vikramaditya Motwane
Madeleine Gavin
Mukul Anand
Martin Zandvliet
Mathew Buck
Jehane Noujaim
Paul Frankl
Pieter Kuijpers
Lukas Dhont
Antonio Campos
Chris Robinson
Majid Majidi
Jonathan Clay
Sachin Gupta
Johnnie To
Rajesh Bhatia
Abhishek Kapoor
Noah Baumbach
Ludovic Bernard
Cem Yilmaz
Jacob LaMendola
Lee Hirsch
Billy Bollotino
Oren Brimer
Le-Van Kiet
Lee Anderson
Trudie Styler
Mike Binder
Kimo Stamboel
Timo Tjahjanto
Ben Nicholas
David Tryhorn
Dennis Iliadis
Kheiron
Vicente Villanueva
Will Canon
Andrew Lau
Alan Mak
Ralph Rieckermann
Farah Khan
Muharrem Gulmez
Sirri Süreyya Önder
Jason Spingarn-Koff
Matt Tyrnauer
Dhanashree Mehta
Yan Han
Vishal Bhardwaj
David M. Rosenthal
Isaac Rentz
Drew Heriot
Abbas Alibhai Burmawalla
Mastan Alibhai Burmawalla
Daniel Sánchez Arévalo
Alejandra Márquez Abella
Pawan Kumar
Dan Krauss
Greg McLean
Shelby Eggers
Joe Miale
Clovis Cornillac
Scot Armstrong
Peter DeLuise
A.R. Murugadoss
Ozan Açiktan
Jessica Petelle
Tudor Giurgiu
Ernie Barbarash
Paul Johansson
Rob Epstein
Jeffrey Friedman
Jeff Wadlow
Banjong Pisanthanakun
Youssef Chahine
Sudabeh Mortezai
Lance Young
Michael Tiddes
Unjoo Moon
Soi Cheang
Sumit Kumar
Ruchi Narain
Seung-Won Lee
Nelson McCormick
Sharif Arafah
Jarand Herdal
Eduardo W. Roy Jr.
Greg Pritikin
Sharan Art
Akiyuki Shinbo
Nobuyuki Takeuchi
Tim Mielants
Ribhu Dasgupta
Santhosh Viswanath
Merawi Gerima
Sigrid Andrea Bernardo
Michael Del Monte
Carlos Therón
Alexandre Avancini
Fajar Bustomi
Kemi Adetiba
Chun Wong
Pedring Lopez
A.L. Vijay
Kabir Khan
Susanne Bier
Azazel Jacobs
Jeremy Grant
Michael D. Black
Ryan Firpo
Pierre Coré
Alejandro Montiel
David Negrin
Markus Schleinzer
Kathrin Resetarits
Keoni Waxman
Bette Gordon
Steve Neilson
Justin Krook
Akshay Akkineni
Hans Somers
Michael Barrett
Daniel Calparsoro
Mahesh Bhatt
Ruel S. Bayani
Isao Yukisada
Justin Peck
Diego Kaplan
Rocky Soraya
Tomas Portella
Tim Kirkby
Tigran Sahakyan
Richard Miron
Gabriel Julien-Laferrière
Madhur Bhandarkar
Prakash Kunte
Arnon Manor
Timothy Ware-Hill
Prakash Jha
Ludovico Di Martino
Samit Basu
Shashanka Ghosh
Monique Gardenberg
Hugo Stuven
Erik White
Mikhail Red
William Kaufman
Michèle Ohayon
Mae Czarina Cruz
Genevieve Nnaji
Alejandro Fernández Almendras
Remy Four
Julien War
Pablo Giorgelli
Neeraj Udhwani
Maryo J. de los Reyes
Lekh Tandon
Amr Salah
Federico Veiroj
Eduardo Mendoza de Echave
Jonathan A. Rosenbaum
Abhinay Deo
Ananda Krishnan
Vishal Mahadkar
Stephanie Turner
Marcelo Galvão
Randa Chahal Sabag
Sacha Wolff
Calen Lang
Daniel Burman
Romelus
Jean Junior Romelus
Joseph Springfield
Luc Stephen
Roman Gackowski
Akira Saitou
Kate Melville
Bauddhayan Mukherji
Pablo Larraín
Anurin Nwunembom
Musing Derick Tening
Rikhil Bahadur
Khalid Marie
Philippe Aractingi
Hanung Bramantyo
EonDuck Han
Shreyas Talpade
Numa Perrier
Riccardo Milani
Chris Rock
Pascal Atuma
Sameer Saxena
K. Ramanlal
A. Salaam
Ava DuVernay
Haril Shukla
Michal Tylka
Leopoldo Aguilar
Steven Rumbelow
David Briggs
Chia-Lin Chu
Hae-sung Song
Jeethu Joseph
Aruna Raje
Daniel Oriahi
Scott Simpson
Miranda Rawson
Lexcee Riley
Chandra Liow
Tanuja Chandra
Lowladee Omolola Adeleke
Umesh Mehra
Raditya Dika
Amarpreet G.S. Chhabra
David 'Tosh' Gitonga
Michael Jones
Kunle Afolayan
Clara Martínez-Lázaro
Lô Politi
Shakti Samanta
Franjo Z. Tomicic
Shirish Kunder
Kumaran
Marie Clements
Jakob Lass
Matt Askem
David H. Brooks
Hieronymus Cole
Omoni Oboli
Roy Petersen
Zuko Nodada
Karan Chavan
Vikram Patil
Fritz Ofner
Eva Hausberger
Vijay Maurya
Sekhar Reddy
Chi-Keung Fung
Baljit Singh Deo
Jude Okwudiafor Johnson
Roger Russell
Joyce Bernal
Niyi Akinmolayan
Bernardo Arellano
Chris Sparling
Frank Rajah Arase
Violeta Barca-Fontana
Stéphane de Freitas
Anna Stone
Funke Akindele
Mark Vogel
Sofie Sustkova
Mike Ezuruonye
Steve Cheng
Bo Huang
Moses Inwang
Milan Luthria
Akay Mason
Abosi Ogba
Harpreet Matharoo
Amadeus Gonzalez
Odunlade Adekola
John McTiernan
Paul Feig
Stephen T. Maing
Brian Zane
Adam McKay
Peter Weir
Joe Carnahan
Martin Saint Charles
Billy Ray
Paul Greengrass
Egor Abramenko
Howard Hawks
Ruben Östlund
Kevin Kölsch
Dennis Widmyer
Greg Tiernan
Conrad Vernon
Brad Davis
William Friedkin
Lars Klevberg
Dan Bradley
Sean McNamara
Nicolas Ehret
Charles A. Nichols
Iwao Takamoto
Wes Craven
Jeff Renfroe
Alan Elliott
Sydney Pollack
Sam Hurwitz
Vaughn Stein
Beth McCarthy-Miller
Phil Karlson
Michael Lembeck
Hsiao-Hsien Hou
Anna Kerrigan
Jeta Amata
Tom Waller
Wallace Worsley
Ajeet Ghorpade
Mark Webber
Marc Munden
Anthony Mann
Robert Benton
Antonio Negret
Stephen Burke
Paul Andrew Williams
Eli B. Despres
Josh Kriegman
Elyse Steinberg
Allison Pregler
Rob Spera
Eric Valli
Michel Debats
Todd Louiso
Celia Rowlson-Hall
Tim Gray
Rachel Lee Goldenberg
David Clark
Al Giddings
Isaac Feder
Courtney Solomon
Aaron Katz
Ryan Prows
Daniel Robbins
Jonas Alexander Arnby
Bart Freundlich
Rashaad Ernesto Green
Travis Zariwny
Yuri Zeltser
Oren Moverman
Éric Hannezo
Deb Shoval
Yen Tan
Michael Goi
James Erskine
Dominic Savage
Derek Nguyen
Mariia Ponomarova
Martin Guigui
Alison Klayman
Mark Pellington
Casey Pinkston
Roger Goldby
Brandon Zuck
Maxim Korostyshevsky
Quinton Peeples
Victoria Wharfe McIntyre
Jerry Hopper
Zoljargal Purevdash
Susan Glatzer
Director X.
Dana Adam Shapiro
Jan Fehse
Howard Hall
Ray Milland
Shivam Malhotra
Emanuele Della Valle
Carter Smith
Christian Tureaud
David Salzberg
Jim Cramer
Sabyn Mayfield
Jacob Cooney
Thorold Dickinson
Maneesh Sharma
Jonathan Demme
Guillermo del Toro
Jason Howden
Don Siegel
Matteo Garrone
Peter Collinson
Mischa Kamp
Gene Saks
Blake Edwards
Takashi Shimizu
Henry Hathaway
Franco Zeffirelli
Sasha Joseph Neulinger
Daniel Nettheim
Paul Lazarus
René Clair
William Castle
Justin Kurzel
Rupert Julian
Lon Chaney
Ernst Laemmle
Edward Sedgwick
William Wyler
Rick Rosenthal
Jorge Dorado
Aashiq Abu
George Mihalka
Joe Dante
Roger Corman
Michael Brandt
Jerry Lewis
Travis Fine
Fred Walton
Annemarie van de Mond
Christian Duguay
Ida Lupino
Karel Reisz
Eric Schaeffer
Steve Buscemi
Ivan Sen
Andy Deliana
Yann Gozlan
David Evans
Jocelyn Moorhouse
Matthew Ross
Michael Gordon
Charles S. Dubin
Uwe Boll
David Veloz
Roy William Neill
Justin P. Lange
Menno Meyjes
Jeffrey Bloom
Richard Lester
Allan Dwan
Larry Charles
Mathieu Turi
Yash Chopra
Omung Kumar
Dave Fleischer
Willard Bowsky
Orestes Calpini
Roland Crandall
William Henning
Winfield Hoskins
Thomas Johnson
Frank Kelling
Seymour Kneitel
Robert G. Leffingwell
Grim Natwick
Tom Palmer
Luis Buñuel
Lisa Addario
Joe Syracuse
James W. Horne
Buster Keaton
Eric Rochant
Jeremiah S. Chechik
Philippe Mora
Delmer Daves
Reinhard Klooss
Uli Edel
Conor McPherson
Stephen Finnigan
Shira Geffen
Etgar Keret
Igal Hecht
Helen Hunt
Nick Powell
Mark Neale
Fred Niblo
P. Vasu
Richard Laxton
Adam Gierasch
Jon Knautz
Ai Weiwei
Matthew Butler-Hart
Jud Taylor
Evan Bright
Anuraj Manohar
N. Krishna
Dagen Merrill
Min Sook Lee
Jonathan auf der Heide
Tony Ayres
Jub Clerc
Robert Connolly
Shaun Gladwell
Rhys Graham
Yaron Lifschitz
Anthony Lucas
Claire McCarthy
Ian Meadows
Ashlee Page
Stephen Page
Simon Stone
Warwick Thornton
Marieka Walsh
Mia Wasikowska
David Wenham
Rick Bieber
Paul Van Carter
Ernst Lubitsch
Brett Simmons
Pasha Patriki
Stephen Fung
Tanu Balak
Troy Miller
