Titulo,Ano,Ator
Breaking Bad,2008,Bryan Cranston
Breaking Bad,2008,Anna Gunn
Breaking Bad,2008,Aaron Paul
Breaking Bad,2008,Betsy Brandt
Breaking Bad,2008,RJ Mitte
Breaking Bad,2008,Dean Norris
Breaking Bad,2008,Bob Odenkirk
Breaking Bad,2008,Steven Michael Quezada
Breaking Bad,2008,Jonathan Banks
Breaking Bad,2008,Giancarlo Esposito
Breaking Bad,2008,Charles Baker
Breaking Bad,2008,Jesse Plemons
Breaking Bad,2008,Christopher Cousins
Breaking Bad,2008,Laura Fraser
Breaking Bad,2008,Matt Jones
Stranger Things,2016,Winona Ryder
Stranger Things,2016,David Harbour
Stranger Things,2016,Finn Wolfhard
Stranger Things,2016,Millie Bobby Brown
Stranger Things,2016,Gaten Matarazzo
Stranger Things,2016,Caleb McLaughlin
Stranger Things,2016,Natalia Dyer
Stranger Things,2016,Charlie Heaton
Stranger Things,2016,Joe Keery
Stranger Things,2016,Cara Buono
Stranger Things,2016,Noah Schnapp
Stranger Things,2016,Sadie Sink
Stranger Things,2016,Priah Ferguson
Stranger Things,2016,Joe Chrest
Stranger Things,2016,Matthew Modine
Attack on Titan,2013,Yûki Kaji
Attack on Titan,2013,Josh Grelle
Attack on Titan,2013,Bryce Papenbrook
Attack on Titan,2013,Trina Nishimura
Attack on Titan,2013,Kishô Taniyama
Attack on Titan,2013,Clifford Chapin
Attack on Titan,2013,Mike McFarland
Attack on Titan,2013,Yû Kobayashi
Attack on Titan,2013,Matthew Mercer
Attack on Titan,2013,Jessica Calvello
Better Call Saul,2015,Bob Odenkirk
Better Call Saul,2015,Jonathan Banks
Better Call Saul,2015,Rhea Seehorn
Better Call Saul,2015,Patrick Fabian
Better Call Saul,2015,Michael Mando
Better Call Saul,2015,Giancarlo Esposito
Better Call Saul,2015,Michael McKean
Better Call Saul,2015,Tony Dalton
Better Call Saul,2015,Kerry Condon
Better Call Saul,2015,Mark Margolis
Better Call Saul,2015,Cara Pifko
Better Call Saul,2015,Jeremiah Bitsui
Better Call Saul,2015,Dennis Boutsikaris
Better Call Saul,2015,Rex Linn
Better Call Saul,2015,Josh Fadem
Dark,2017,Louis Hofmann
Dark,2017,Karoline Eichhorn
Dark,2017,Lisa Vicari
Dark,2017,Maja Schöne
Dark,2017,Jördis Triebel
Dark,2017,Andreas Pietschmann
Dark,2017,Stephan Kampwirth
Dark,2017,Paul Lux
Dark,2017,Christian Hutcherson
Dark,2017,Oliver Masucci
Dark,2017,Moritz Jahn
Dark,2017,Peter Benedict
Dark,2017,Gina Stiebitz
Dark,2017,Deborah Kaufmann
Dark,2017,Daan Lennard Liebrenz
Avatar: The Last Airbender,2005,Dee Bradley Baker
Avatar: The Last Airbender,2005,Zach Tyler Eisen
