Titulo,Ano,Duracao,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
The Irishman,2019,209.0,Netflix,18+,7.8/10,98/100,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.
Dangal,2016,161.0,Netflix,7+,8.4/10,97/100,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.
David Attenborough: A Life on Our Planet,2020,83.0,Netflix,7+,9.0/10,95/100,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future."
Lagaan: Once Upon a Time in India,2001,224.0,Outra,7+,8.1/10,94/100,
Roma,2018,52.0,Outra,18+,7.7/10,94/100,
To All the Boys I've Loved Before,2018,99.0,Outra,13+,7.1/10,94/100,
The Social Dilemma,2020,94.0,Netflix,13+,7.6/10,93/100,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
Okja,2017,120.0,Netflix,13+,7.3/10,92/100,"A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics."
The Ballad of Buster Scruggs,2018,133.0,Netflix,16+,7.3/10,92/100,"Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier."
The Trial of the Chicago 7,2020,129.0,Netflix,18+,7.8/10,92/100,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
Article 15,2019,130.0,Netflix,18+,8.2/10,92/100,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,94.0,Outra,18+,7.7/10,92/100,
Dolemite Is My Name,2019,118.0,Netflix,18+,7.3/10,92/100,"In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen."
Mudbound,2017,134.0,Netflix,18+,7.4/10,91/100,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era."
Swades,2004,210.0,Netflix,all,8.2/10,91/100,An Americanized NASA scientist returns to his native India on a business trip and searches for the nanny who helped raise him.
Fyre,2019,97.0,Outra,18+,7.2/10,91/100,
Miss Americana,2020,85.0,Netflix,18+,7.4/10,90/100,"In this revealing documentary, Taylor Swift embraces her role as a songwriter and performer — and as a woman harnessing the full power of her voice."
Virunga,2014,100.0,Netflix,16+,8.2/10,90/100,The Oscar-nominated true story of the rangers risking their lives to save Africa's most precious national park and its endangered gorillas.
Black Friday,2004,143.0,Netflix,18+,8.5/10,90/100,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
Talvar,2015,132.0,Outra,7+,8.2/10,90/100,
The King,2019,140.0,Netflix,18+,7.2/10,90/100,Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.
John Mulaney: Kid Gorgeous at Radio City,2018,65.0,Netflix,18+,8.0/10,89/100,"John Mulaney relays stories from his childhood and “SNL,” eviscerates the value of college and laments getting older in this electric comedy special."
I Am Mother,2019,113.0,Netflix,13+,6.7/10,89/100,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human."
Tell Me Who I Am,2019,,Netflix,18+,7.6/10,89/100,"In this documentary, Alex trusts his twin, Marcus, to tell him about his past after he loses his memory. But Marcus is hiding a dark family secret."
The Departed,2006,151.0,Netflix,18+,8.5/10,89/100,Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.
Winter on Fire: Ukraine's Fight for Freedom,2015,102.0,Netflix,16+,8.4/10,89/100,"Over 93 days in Ukraine, what started as peaceful student demonstrations became a violent revolution and full-fledged civil rights movement."
Terminator 2: Judgment Day,1991,137.0,Outra,18+,8.5/10,89/100,
I Lost My Body,2019,81.0,Netflix,18+,7.6/10,89/100,"Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film."
Django Unchained,2012,165.0,Netflix,18+,8.4/10,89/100,"Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner."
The Half of It,2020,104.0,Outra,13+,6.9/10,89/100,
