"Titulo","Ano","Genero"
"Swades",2004,"Musical"
"Tell Me Who I Am",2019,"Documentary"
"Tell Me Who I Am",2019,"Mystery"
"A Twelve-Year Night",2018,"Adventure"
"Kung Fu Panda",2008,"Drama"
"Kung Fu Panda",2008,"Fantasy"
"How to Train Your Dragon 2",2014,"Comedy"
"Veronica",2017,"Drama"
"Veronica",2017,"Mystery"
"Veronica",2017,"Thriller"
"A Whisker Away",2020,"Drama"
"Bo Burnham: Inside",2021,"Reality-TV"
"The Willoughbys",2020,"Drama"
"On My Skin",2018,"Talk-Show"
"Kung Fu Panda 2",2011,"Drama"
"Quincy",2018,"Documentary"
"Quincy",2018,"Biography"
"Elena",2013,"Documentary"
"Elena",2013,"Biography"
"Elena",2013,"Family"
"Miles Davis: Birth of the Cool",2019,"Documentary"
"Screwball",2019,"History"
"Rango",2011,"Drama"
"Evelyn",2019,"Documentary"
"Ravenous",2017,"Action"
"Ravenous",2017,"Drama"
"Ravenous",2017,"Sci-Fi"
"Ravenous",2017,"Thriller"
"Eye for an Eye",2019,"Drama"
"White Fang",2018,"Animation"
"Crimson Peak",2015,"Romance"
"Lemony Snicket's A Series of Unfortunate Events",2004,"Fantasy"
"Defiance",2008,"History"
"Defiance",2008,"Thriller"
"Defiance",2008,"War"
"A Fortunate Man",2018,"Romance"
"The Butler",2013,"Short"
"The Butler",2013,"Comedy"
"Remember Me",2010,"Romance"
"Game Over",2019,"Mystery"
"Game Over",2019,"Thriller"
"Wish Dragon",2021,"Romance"
"Gunpowder Milkshake",2021,"Crime"
"Voyeur",2017,"Documentary"
"It Comes at Night",2017,"Thriller"
"Cloudy with a Chance of Meatballs 2",2013,"Drama"
"Felon",2008,"Crime"
"Surf's Up",2007,"Adventure"
"Bee Movie",2007,"Drama"
"Savages",2012,"Action"
"Savages",2012,"Drama"
"Mr. Peabody & Sherman",2014,"Fantasy"
"Mr. Peabody & Sherman",2014,"History"
"Synchronic",2020,"Horror"
"Synchronic",2020,"Mystery"
"The American",2010,"Action"
"Barry",2016,"Biography"
"Underdogs",2013,"Animation"
"Underdogs",2013,"Adventure"
"Underdogs",2013,"Family"
"The Clovehitch Killer",2018,"Horror"
"Starsky & Hutch",2004,"Comedy"
"Loving",2016,"Biography"
"Disclosure",2020,"Documentary"
"City of Joy",2016,"Documentary"
"City of Joy",2016,"Crime"
"City of Joy",2016,"Thriller"
"City of Joy",2016,"War"
"Berserk: The Golden Age Arc III - The Advent",2013,"Romance"
"Prospect",2018,"Adventure"
"Agneepath",1990,"Musical"
"Berserk: The Golden Age Arc I - The Egg of the King",2012,"Drama"
"Berserk: The Golden Age Arc I - The Egg of the King",2012,"Horror"
"The Outsider",2018,"Action"
"Bastille Day",2016,"Talk-Show"
"The Angry Birds Movie 2",2019,"Action"
"Stowaway",2021,"Adventure"
"The Square",2013,"Documentary"
"The Square",2013,"History"
"The Square",2013,"News"
"Roxanne, Roxanne",2017,"Short"
"Roxanne, Roxanne",2017,"Drama"
"Riphagen The Untouchable",2016,"Biography"
"Riphagen The Untouchable",2016,"Drama"
"Riphagen The Untouchable",2016,"War"
"Girl",2018,"Drama"
"Berserk: The Golden Age Arc II - The Battle for Doldrey",2012,"Drama"
"Berserk: The Golden Age Arc II - The Battle for Doldrey",2012,"Horror"
"Christine",2016,"Biography"
"Christine",2016,"Drama"
"Lost Girls",2020,"Crime"
"Xtreme",2021,"Adventure"
"Beyond the Clouds",2018,"Family"
"Shepherds and Butchers",2017,"Crime"
"Shepherds and Butchers",2017,"Mystery"
"The Green Inferno",2015,"Comedy"
"The Green Inferno",2015,"Talk-Show"
"Pihu",2018,"Short"
"Pihu",2018,"Romance"
"Kicking and Screaming",1995,"Drama"
"The Climb",2017,"Romance"
"Coming Soon",2014,"Drama"
"The Motive",2017,"Adventure"
"Long Shot",2017,"Documentary"
"Long Shot",2017,"Crime"
"Long Shot",2017,"Sport"
"Dev.D",2009,"Comedy"
"Bully",2011,"Documentary"
"Jim Jefferies: Bare",2014,"Talk-Show"
"Furie",2019,"Action"
"Furie",2019,"Drama"
"Furie",2019,"Thriller"
"The Blue Elephant Part 2",2019,"Animation"
"The Blue Elephant Part 2",2019,"Short"
"Freak Show",2018,"Drama"
"Black or White",2014,"Drama"
"Headshot",2016,"Drama"
"America: The Motion Picture",2021,"Fantasy"
"America: The Motion Picture",2021,"War"
"Pelé",2021,"Documentary"
"Yuva",2004,"Action"
"Yuva",2004,"Thriller"
"Bad Seeds",2018,"Comedy"
"Toc Toc",2017,"Comedy"
"Demonic",2015,"Mystery"
"Demonic",2015,"Thriller"
"Initial D",2005,"Romance"
"Audrey",2020,"History"
"Happy New Year",2014,"Action"
"Happy New Year",2014,"Crime"
"Happy New Year",2014,"Music"
"A Haunted House 2",2014,"Horror"
"The International",2006,"Comedy"
"The International",2006,"Music"
"Studio 54",2018,"Documentary"
"Studio 54",2018,"History"
"Animal World",2018,"Action"
"Animal World",2018,"Sci-Fi"
"Animal World",2018,"Thriller"
"Rangoon",2017,"History"
"Rangoon",2017,"Romance"
"Rangoon",2017,"War"
"How It Ends",2018,"Action"
"How It Ends",2018,"Drama"
"How It Ends",2018,"Mystery"
"How It Ends",2018,"Sci-Fi"
"How It Ends",2018,"Thriller"
"Opening Night",2016,"Comedy"
"Opening Night",2016,"Musical"
"The Secret",2006,"Documentary"
"Race",2008,"Action"
"Race",2008,"Crime"
"Race",2008,"Thriller"
"The Vanished",2020,"Crime"
"U Turn",2016,"Horror"
"U Turn",2016,"Mystery"
"Extremis",2016,"Documentary"
"Extremis",2016,"Short"
"Rocko's Modern Life: Static Cling",2019,"Short"
"Rocko's Modern Life: Static Cling",2019,"Fantasy"
"Rocko's Modern Life: Static Cling",2019,"Mystery"
"Rocko's Modern Life: Static Cling",2019,"Sci-Fi"
"Skins",2017,"Short"
"Revolt",2017,"Adventure"
"Revolt",2017,"Sci-Fi"
"Search Party",2014,"Adventure"
"Zapped",2014,"Comedy"
"Zapped",2014,"Family"
"Zapped",2014,"Fantasy"
"Last Summer",2021,"Romance"
"All Good",2018,"Short"
"All Good",2018,"Comedy"
"Why Me?",2015,"Drama"
"Why Me?",2015,"Thriller"
"The Saint",2017,"Crime"
"End Game",2018,"Documentary"
"End Game",2018,"Short"
"Trolls Holiday",2017,"Short"
"Trolls Holiday",2017,"Adventure"
