"Titulo","Ano","Genero"
"Breaking Bad",2008,"Crime"
"Breaking Bad",2008,"Drama"
"Breaking Bad",2008,"Thriller"
"Stranger Things",2016,"Drama"
"Stranger Things",2016,"Fantasy"
"Stranger Things",2016,"Horror"
"Stranger Things",2016,"Mystery"
"Stranger Things",2016,"Sci-Fi"
"Stranger Things",2016,"Thriller"
"Attack on Titan",2013,"Animation"
"Attack on Titan",2013,"Action"
"Attack on Titan",2013,"Adventure"
"Attack on Titan",2013,"Drama"
"Attack on Titan",2013,"Fantasy"
"Attack on Titan",2013,"Horror"
"Better Call Saul",2015,"Crime"
"Better Call Saul",2015,"Drama"
"Dark",2017,"Crime"
"Dark",2017,"Drama"
"Dark",2017,"Mystery"
"Dark",2017,"Sci-Fi"
"Dark",2017,"Thriller"
"Avatar: The Last Airbender",2005,"Animation"
"Avatar: The Last Airbender",2005,"Action"
"Avatar: The Last Airbender",2005,"Adventure"
"Avatar: The Last Airbender",2005,"Family"
"Avatar: The Last Airbender",2005,"Fantasy"
"Avatar: The Last Airbender",2005,"Mystery"
"Peaky Blinders",2013,"Crime"
"Peaky Blinders",2013,"Drama"
"The Walking Dead",2010,"Drama"
"The Walking Dead",2010,"Horror"
"The Walking Dead",2010,"Thriller"
"Black Mirror",2011,"Drama"
"Black Mirror",2011,"Sci-Fi"
"Black Mirror",2011,"Thriller"
"The Queen's Gambit",2020,"Drama"
"Mindhunter",2017,"Crime"
"Mindhunter",2017,"Drama"
"Mindhunter",2017,"Thriller"
"Community",2009,"Comedy"
"Narcos",2015,"Biography"
"Narcos",2015,"Crime"
"Narcos",2015,"Drama"
"Narcos",2015,"Thriller"
"Shameless",2011,"Comedy"
"Shameless",2011,"Drama"
"Money Heist",2017,"Action"
"Money Heist",2017,"Crime"
"Money Heist",2017,"Drama"
"Money Heist",2017,"Mystery"
"Money Heist",2017,"Thriller"
"Marvel's Daredevil",2015,"Action"
"Marvel's Daredevil",2015,"Crime"
"Marvel's Daredevil",2015,"Drama"
"Marvel's Daredevil",2015,"Fantasy"
"Marvel's Daredevil",2015,"Sci-Fi"
"Marvel's Daredevil",2015,"Thriller"
"Lucifer",2016,"Crime"
"Lucifer",2016,"Drama"
"Lucifer",2016,"Fantasy"
"Supernatural",2005,"Drama"
"Supernatural",2005,"Fantasy"
"Supernatural",2005,"Horror"
"Supernatural",2005,"Mystery"
"Supernatural",2005,"Thriller"
"The Witcher",2019,"Action"
"The Witcher",2019,"Adventure"
"The Witcher",2019,"Fantasy"
"The Witcher",2019,"Mystery"
"Ozark",2017,"Crime"
"Ozark",2017,"Drama"
"Ozark",2017,"Thriller"
"The Crown",2016,"Biography"
"The Crown",2016,"Drama"
"The Crown",2016,"History"
"Cobra Kai",2018,"Action"
"Cobra Kai",2018,"Comedy"
"Cobra Kai",2018,"Drama"
"Cobra Kai",2018,"Sport"
"The Blacklist",2013,"Crime"
"The Blacklist",2013,"Drama"
"The Blacklist",2013,"Mystery"
"The Blacklist",2013,"Thriller"
"The Flash",2014,"Action"
"The Flash",2014,"Adventure"
"The Flash",2014,"Drama"
"The Flash",2014,"Sci-Fi"
"Outlander",2014,"Drama"
"Outlander",2014,"Fantasy"
"Outlander",2014,"Romance"
"Fullmetal Alchemist: Brotherhood",2009,"Animation"
"Fullmetal Alchemist: Brotherhood",2009,"Action"
"Fullmetal Alchemist: Brotherhood",2009,"Adventure"
"Fullmetal Alchemist: Brotherhood",2009,"Comedy"
"Fullmetal Alchemist: Brotherhood",2009,"Drama"
"Fullmetal Alchemist: Brotherhood",2009,"Fantasy"
"Fullmetal Alchemist: Brotherhood",2009,"Sci-Fi"
"The Good Place",2016,"Comedy"
"The Good Place",2016,"Drama"
"The Good Place",2016,"Fantasy"
"The Good Place",2016,"Romance"
"House of Cards",2013,"Drama"
"Atypical",2017,"Comedy"
"Atypical",2017,"Drama"
"Grey's Anatomy",2005,"Drama"
"Grey's Anatomy",2005,"Romance"
"Arrested Development",2003,"Comedy"
"Lupin",2021,"Action"
"Lupin",2021,"Crime"
"Lupin",2021,"Drama"
"Lupin",2021,"Mystery"
"The Umbrella Academy",2019,"Action"
"The Umbrella Academy",2019,"Adventure"
"The Umbrella Academy",2019,"Comedy"
"The Umbrella Academy",2019,"Drama"
"The Umbrella Academy",2019,"Fantasy"
"The Umbrella Academy",2019,"Sci-Fi"
"Orange Is the New Black",2013,"Comedy"
"Orange Is the New Black",2013,"Crime"
"Orange Is the New Black",2013,"Drama"
"The Vampire Diaries",2009,"Drama"
"The Vampire Diaries",2009,"Fantasy"
"The Vampire Diaries",2009,"Horror"
"The Vampire Diaries",2009,"Mystery"
"The Vampire Diaries",2009,"Romance"
"The Vampire Diaries",2009,"Thriller"
"Demon Slayer: Kimetsu no Yaiba",2019,"Animation"
"Demon Slayer: Kimetsu no Yaiba",2019,"Action"
"Demon Slayer: Kimetsu no Yaiba",2019,"Adventure"
"Demon Slayer: Kimetsu no Yaiba",2019,"Fantasy"
"Demon Slayer: Kimetsu no Yaiba",2019,"Thriller"
"The Last Dance",2020,"Documentary"
"The Last Dance",2020,"Biography"
"The Last Dance",2020,"History"
"The Last Dance",2020,"Sport"
"American Horror Story",2011,"Drama"
"American Horror Story",2011,"Horror"
"American Horror Story",2011,"Thriller"
"Elite",2018,"Crime"
"Elite",2018,"Drama"
"Elite",2018,"Thriller"
"BoJack Horseman",2014,"Animation"
"BoJack Horseman",2014,"Comedy"
"BoJack Horseman",2014,"Drama"
"Star Trek: The Next Generation",1987,"Action"
"Star Trek: The Next Generation",1987,"Adventure"
"Star Trek: The Next Generation",1987,"Mystery"
"Star Trek: The Next Generation",1987,"Sci-Fi"
"Broadchurch",2013,"Crime"
"Broadchurch",2013,"Drama"
"Broadchurch",2013,"Mystery"
"The IT Crowd",2006,"Comedy"
"When They See Us",2019,"Biography"
"When They See Us",2019,"Crime"
"When They See Us",2019,"Drama"
"When They See Us",2019,"History"
"Love, Death & Robots",2019,"Animation"
"Love, Death & Robots",2019,"Short"
"Love, Death & Robots",2019,"Action"
"Love, Death & Robots",2019,"Adventure"
"Love, Death & Robots",2019,"Comedy"
"Love, Death & Robots",2019,"Drama"
"Love, Death & Robots",2019,"Fantasy"
"Love, Death & Robots",2019,"Horror"
"Love, Death & Robots",2019,"Mystery"
"Love, Death & Robots",2019,"Sci-Fi"
"Love, Death & Robots",2019,"Thriller"
"Schitt's Creek",2015,"Comedy"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Action"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Adventure"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Drama"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Sci-Fi"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Thriller"
"Never Have I Ever",2020,"Comedy"
"Never Have I Ever",2020,"Drama"
"The 100",2014,"Drama"
"The 100",2014,"Mystery"
"The 100",2014,"Sci-Fi"
"American Crime Story",2016,"Biography"
"American Crime Story",2016,"Crime"
"American Crime Story",2016,"Drama"
"The Last Kingdom",2015,"Action"
