Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Breaking Bad,2008,,5 Seasons,Netflix,18+,9.4/10,100/100,A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.
Stranger Things,2016,,3 Seasons,Netflix,16+,8.7/10,96/100,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
Attack on Titan,2013,,1 Season,Netflix,18+,9.0/10,95/100,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
Better Call Saul,2015,,4 Seasons,Netflix,18+,8.8/10,94/100,"This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman."
Dark,2017,,3 Seasons,Netflix,16+,8.8/10,93/100,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.
Avatar: The Last Airbender,2005,,3 Seasons,Netflix,7+,9.3/10,93/100,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation."
Peaky Blinders,2013,,5 Seasons,Netflix,18+,8.8/10,93/100,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost."
The Walking Dead,2010,,10 Seasons,Netflix,18+,8.2/10,93/100,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
Black Mirror,2011,,5 Seasons,Netflix,18+,8.8/10,92/100,"This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide."
The Queen's Gambit,2020,,1 Season,Netflix,18+,8.6/10,92/100,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
Mindhunter,2017,,,Outra,18+,8.6/10,90/100,
Community,2009,,6 Seasons,Netflix,7+,8.5/10,90/100,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
Narcos,2015,,3 Seasons,Netflix,18+,8.8/10,90/100,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.
Shameless,2011,,,Outra,18+,8.5/10,90/100,
Money Heist,2017,,,Outra,18+,8.3/10,90/100,
Marvel's Daredevil,2015,,3 Seasons,Netflix,18+,8.6/10,90/100,"Blinded as a young boy, Matt Murdock fights injustice by day as a lawyer and by night as the Super Hero Daredevil in Hell's Kitchen, New York City."
Lucifer,2016,,6 Seasons,Netflix,16+,8.1/10,90/100,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
Supernatural,2005,,15 Seasons,Netflix,16+,8.4/10,89/100,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters."
The Witcher,2019,,1 Season,Netflix,18+,8.2/10,89/100,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts."
Ozark,2017,,3 Seasons,Netflix,18+,8.4/10,89/100,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss."
The Crown,2016,,4 Seasons,Netflix,18+,8.6/10,89/100,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
Cobra Kai,2018,,3 Seasons,Netflix,16+,8.6/10,89/100,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
The Blacklist,2013,,7 Seasons,Netflix,16+,8.0/10,88/100,"After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
The Flash,2014,,7 Seasons,Netflix,16+,7.6/10,88/100,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
Outlander,2014,,4 Seasons,Netflix,18+,8.4/10,88/100,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
Fullmetal Alchemist: Brotherhood,2009,,5 Seasons,Netflix,16+,9.1/10,88/100,After both suffer physical damage – brothers Edward and Alphonse battle nefarious forces to try to reclaim their bodies in this supernatural anime.
The Good Place,2016,,4 Seasons,Netflix,16+,8.2/10,88/100,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person."
House of Cards,2013,,6 Seasons,Netflix,18+,8.7/10,88/100,"A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama."
Atypical,2017,,4 Seasons,Netflix,16+,8.3/10,88/100,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
Grey's Anatomy,2005,,17 Seasons,Netflix,16+,7.5/10,87/100,Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.
Arrested Development,2003,,5 Seasons,Netflix,16+,8.7/10,87/100,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together."
Lupin,2021,,2 Seasons,Netflix,18+,7.5/10,87/100,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
The Umbrella Academy,2019,,2 Seasons,Netflix,16+,8.0/10,87/100,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity."
Orange Is the New Black,2013,,7 Seasons,Netflix,18+,8.0/10,87/100,"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds."""
The Vampire Diaries,2009,,8 Seasons,Netflix,16+,7.7/10,86/100,"Trapped in adolescent bodies, feuding vampire brothers Stefan and Damon vie for the affection of captivating teenager Elena."
Demon Slayer: Kimetsu no Yaiba,2019,,1 Season,Netflix,18+,8.7/10,86/100,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
The Last Dance,2020,,1 Season,Netflix,16+,9.1/10,86/100,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season."
American Horror Story,2011,,9 Seasons,Netflix,18+,8.0/10,86/100,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
Elite,2018,,4 Seasons,Netflix,18+,7.5/10,86/100,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
BoJack Horseman,2014,,6 Seasons,Netflix,18+,8.7/10,86/100,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?"
Star Trek: The Next Generation,1987,,7 Seasons,Netflix,7+,8.6/10,86/100,"Decades after the adventures of the original Enterprise crew, Capt. Jean-Luc Picard leads a new Enterprise on missions to explore unknown worlds."
Broadchurch,2013,,3 Seasons,Netflix,18+,8.4/10,86/100,"After a young boy is murdered in the small seaside town of Broadchurch, local detectives Ellie Miller and Alec Hardy are assigned the mysterious case."
The IT Crowd,2006,,5 Seasons,Netflix,16+,8.5/10,86/100,"Aided by a tech-illiterate manager, a pair of basement-dwelling dweebs makes the most of life in IT at a corporation run by a cloddish new owner."
When They See Us,2019,,1 Season,Netflix,18+,8.9/10,86/100,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
"Love, Death & Robots",2019,,2 Seasons,Netflix,18+,8.5/10,86/100,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher."
Schitt's Creek,2015,,6 Seasons,Netflix,16+,8.5/10,86/100,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek."
