"Titulo","Ano","Escritor"
"Breaking Bad",2008,"Vince Gilligan"
"Breaking Bad",2008,"Peter Gould"
"Stranger Things",2016,"Matt Duffer"
"Attack on Titan",2013,"Hajime Isayama"
"Attack on Titan",2013,"Yasuko Kobayashi"
"Better Call Saul",2015,"Vince Gilligan"
"Better Call Saul",2015,"Peter Gould"
"Dark",2017,"Baran bo Odar"
"Dark",2017,"Jantje Friese"
"Avatar: The Last Airbender",2005,"Michael Dante DiMartino"
"Peaky Blinders",2013,"Steven Knight"
"The Walking Dead",2010,"Charlie Adlard"
"The Walking Dead",2010,"Frank Darabont"
"Black Mirror",2011,"Charlie Brooker"
"The Queen's Gambit",2020,"Scott Frank"
"The Queen's Gambit",2020,"Allan Scott"
"Mindhunter",2017,"John Douglas"
"Mindhunter",2017,"Mark Olshaker"
"Mindhunter",2017,"Joe Penhall"
"Community",2009,"Dan Harmon"
"Community",2009,"Tim Saccardo"
"Narcos",2015,"Carlo Bernard"
"Shameless",2011,"Paul Abbott"
"Money Heist",2017,"Álex Pina"
"Marvel's Daredevil",2015,"Bill Everett"
"Marvel's Daredevil",2015,"Drew Goddard"
"Lucifer",2016,"Mike Dringenberg"
"Supernatural",2005,"Eric Kripke"
"The Witcher",2019,"Andrzej Sapkowski"
"The Witcher",2019,"Lauren Schmidt"
"Ozark",2017,"Bill Dubuque"
"The Crown",2016,"Peter Morgan"
"Cobra Kai",2018,"Josh Heald"
"The Blacklist",2013,"Jon Bokenkamp"
"The Flash",2014,"Greg Berlanti"
"The Flash",2014,"Geoff Johns"
"Outlander",2014,"Diana Gabaldon"
"Fullmetal Alchemist: Brotherhood",2009,"Hiromu Arakawa"
"The Good Place",2016,"Michael Schur"
"House of Cards",2013,"Andrew Davies"
"House of Cards",2013,"Michael Dobbs"
"House of Cards",2013,"Beau Willimon"
"Atypical",2017,"Robia Rashid"
"Atypical",2017,"D.J. Ryan"
"Grey's Anatomy",2005,"Shonda Rhimes"
"Arrested Development",2003,"Mitchell Hurwitz"
"Lupin",2021,"George Kay"
"The Umbrella Academy",2019,"Steve Blackman"
"The Umbrella Academy",2019,"Gerard Way"
"Orange Is the New Black",2013,"Jenji Kohan"
"The Vampire Diaries",2009,"Julie Plec"
"Demon Slayer: Kimetsu no Yaiba",2019,"Koyoharu Gotouge"
"Demon Slayer: Kimetsu no Yaiba",2019,"Ufotable"
"Demon Slayer: Kimetsu no Yaiba",2019,"Lucien Dodge"
"American Horror Story",2011,"Brad Falchuk"
"Elite",2018,"Darío Madrona"
"Elite",2018,"Carlos Montero"
"BoJack Horseman",2014,"Raphael Bob-Waksberg"
"BoJack Horseman",2014,"Alison Tafel"
"Star Trek: The Next Generation",1987,"Gene Roddenberry"
"Broadchurch",2013,"Chris Chibnall"
"The IT Crowd",2006,"Graham Linehan"
"When They See Us",2019,"Ava DuVernay"
"Love, Death & Robots",2019,"Tim Miller"
"Love, Death & Robots",2019,"Philip Gelatt"
"Schitt's Creek",2015,"Dan Levy"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Jack Kirby"
"Marvel's Agents of S.H.I.E.L.D.",2013,"Maurissa Tancharoen"
"Never Have I Ever",2020,"Lang Fisher"
"Never Have I Ever",2020,"Mindy Kaling"
"The 100",2014,"Kass Morgan"
"The 100",2014,"Jason Rothenberg"
"American Crime Story",2016,"Jeffrey Toobin"
"The Last Kingdom",2015,"Lydia Adetunji"
"The Last Kingdom",2015,"Stephen Butchard"
"The Last Kingdom",2015,"Bernard Cornwell"
"The End of the F***ing World",2017,"Andy Baker"
"The End of the F***ing World",2017,"Charlie Covell"
"New Girl",2011,"Elizabeth Meriwether"
"Penny Dreadful",2014,"John Logan"
"One Piece",1999,"Eiichiro Oda"
"Marvel's The Punisher",2017,"Ross Andru"
"Marvel's The Punisher",2017,"Gerry Conway"
"Marvel's The Punisher",2017,"Ken Kristensen"
"Evil",2019,"Michelle King"
"Evil",2019,"Robert King"
"Sense8",2015,"J. Michael Straczynski"
"Sense8",2015,"Lana Wachowski"
"Making a Murderer",2015,"Moira Demos"
"Making a Murderer",2015,"Laura Ricciardi"
"Unbelievable",2019,"Ken Armstrong"
"Unbelievable",2019,"Susannah Grant"
"Arrow",2012,"Greg Berlanti"
"Arrow",2012,"Marc Guggenheim"
"Sex Education",2019,"Laurie Nunn"
"Sex Education",2019,"Sophie Goodhart"
"Marvel's Jessica Jones",2015,"Brian Michael Bendis"
"Marvel's Jessica Jones",2015,"Michael Gaydos"
"Marvel's Jessica Jones",2015,"Melissa Rosenberg"
"Sweet Tooth",2021,"Jeff Lemire"
"Sweet Tooth",2021,"Jim Mickle"
"Good Girls",2018,"Jenna Bans"
"Good Girls",2018,"Jeremy Gordon"
"Death Note",2006,"Gracie P. Aylward"
"Death Note",2006,"Toshiki Inoue"
"Gilmore Girls",2000,"Amy Sherman-Palladino"
"The Legend of Korra",2012,"Michael Dante DiMartino"
"How to Get Away with Murder",2014,"Peter Nowalk"
"How to Get Away with Murder",2014,"Sarah L. Thompson"
"Master of None",2015,"Aziz Ansari"
"Chappelle's Show",2003,"Neal Brennan"
"Chappelle's Show",2003,"Dave Chappelle"
"Downton Abbey",2010,"Julian Fellowes"
"Downton Abbey",2010,"Tina Pepler"
"Downton Abbey",2010,"Shelagh Stephenson"
"Gotham",2014,"Bruno Heller"
"Gotham",2014,"Bill Finger"
"Pose",2018,"Steven Canals"
"Pose",2018,"Brad Falchuk"
"Bodyguard",2018,"Jed Mercurio"
