Titulo,Ano,Pais
The Irishman,2019,United States
Dangal,2016,India
Dangal,2016,United States
Dangal,2016,United Kingdom
Dangal,2016,Australia
Dangal,2016,Kenya
Dangal,2016,Namibia
David Attenborough: A Life on Our Planet,2020,United Kingdom
Lagaan: Once Upon a Time in India,2001,India
Lagaan: Once Upon a Time in India,2001,United Kingdom
Roma,2018,United Kingdom
Roma,2018,United States
To All the Boys I've Loved Before,2018,United States
The Social Dilemma,2020,United States
Okja,2017,South Korea
Okja,2017,United States
The Ballad of Buster Scruggs,2018,United States
The Trial of the Chicago 7,2020,United States
The Trial of the Chicago 7,2020,United Kingdom
The Trial of the Chicago 7,2020,India
Article 15,2019,India
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,United States
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,Canada
Dolemite Is My Name,2019,United States
Mudbound,2017,United States
Swades,2004,India
Fyre,2019,United States
Miss Americana,2020,United States
Virunga,2014,United Kingdom
Virunga,2014,Congo - Brazzaville
Black Friday,2004,India
Talvar,2015,India
The King,2019,United Kingdom
The King,2019,Hungary
The King,2019,United States
The King,2019,Australia
John Mulaney: Kid Gorgeous at Radio City,2018,United States
I Am Mother,2019,Australia
Tell Me Who I Am,2019,Spain
The Departed,2006,United States
The Departed,2006,Hong Kong SAR China
Winter on Fire: Ukraine's Fight for Freedom,2015,United Kingdom
Winter on Fire: Ukraine's Fight for Freedom,2015,Ukraine
Winter on Fire: Ukraine's Fight for Freedom,2015,United States
Terminator 2: Judgment Day,1991,United States
I Lost My Body,2019,France
I Lost My Body,2019,United States
Django Unchained,2012,United States
The Half of It,2020,United States
The Boy Who Harnessed the Wind,2019,United Kingdom
The Boy Who Harnessed the Wind,2019,Malawi
The Devil All the Time,2020,United States
The Fundamentals of Caring,2016,United States
Pieces of a Woman,2020,Canada
Pieces of a Woman,2020,Hungary
Pieces of a Woman,2020,United States
Gerald's Game,2017,United States
On Body and Soul,2017,Hungary
Shutter Island,2010,United States
Always Be My Maybe,2019,United States
The Intouchables,2011,France
Bill Burr: Paper Tiger,2019,United States
Bill Burr: Paper Tiger,2019,United Kingdom
Special 26,2013,India
