Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Breaking Bad,2008,49 min,5 Seasons,Netflix,18+,9.4/10,100/100,A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.
Stranger Things,2016,51 min,3 Seasons,Netflix,16+,8.7/10,96/100,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
Attack on Titan,2013,24 min,1 Season,Netflix,18+,9.0/10,95/100,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
Better Call Saul,2015,46 min,4 Seasons,Netflix,18+,8.8/10,94/100,"This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman."
Dark,2017,60 min,3 Seasons,Netflix,16+,8.8/10,93/100,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.
Avatar: The Last Airbender,2005,23 min,3 Seasons,Netflix,7+,9.3/10,93/100,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation."
Peaky Blinders,2013,60 min,5 Seasons,Netflix,18+,8.8/10,93/100,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost."
The Walking Dead,2010,44 min,10 Seasons,Netflix,18+,8.2/10,93/100,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
Black Mirror,2011,60 min,5 Seasons,Netflix,18+,8.8/10,92/100,"This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide."
The Queen's Gambit,2020,395 min,1 Season,Netflix,18+,8.6/10,92/100,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
Mindhunter,2017,60 min,2 Seasons,Outra,18+,8.6/10,90/100,"Two FBI agents, fighting the departmental stigma of backroom boys - those who try to complicate the status quo of simple Means, Motive, Opportunity (MMO) of crime-solving with academics - work to develop an innovative investigative field incorporating psychology, anthropology and sociology as a method to reveal the motive. They acknowledge classic crime-solving - MMO - as no longer sufficient because criminality is becoming more complicated as Motive graduates from need and greed to inexplicable and irrational reasons. They theorize applying deeper psychological evaluation will posit new questions. Simply, asking Why will lead to the Who. This series focuses on the development by two men, two agents, of a new criminal field and does so through story lines of visiting the sociopathic mind."
Community,2009,22 min,6 Seasons,Netflix,7+,8.5/10,90/100,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
Narcos,2015,49 min,3 Seasons,Netflix,18+,8.8/10,90/100,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.
Shameless,2011,46 min,11 Seasons,Outra,18+,8.5/10,90/100,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have."
Money Heist,2017,70 min,5 Seasons,Outra,18+,8.3/10,90/100,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion memorizing every step, every detail, every probability culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing."
Marvel's Daredevil,2015,54 min,3 Seasons,Netflix,18+,8.6/10,90/100,"Blinded as a young boy, Matt Murdock fights injustice by day as a lawyer and by night as the Super Hero Daredevil in Hell's Kitchen, New York City."
Lucifer,2016,42 min,6 Seasons,Netflix,16+,8.1/10,90/100,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
Supernatural,2005,44 min,15 Seasons,Netflix,16+,8.4/10,89/100,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters."
The Witcher,2019,60 min,1 Season,Netflix,18+,8.2/10,89/100,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts."
Ozark,2017,60 min,3 Seasons,Netflix,18+,8.4/10,89/100,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss."
The Crown,2016,58 min,4 Seasons,Netflix,18+,8.6/10,89/100,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
