Titulo,Ano,Diretor
The Irishman,2019,Martin Scorsese
Dangal,2016,Nitesh Tiwari
David Attenborough: A Life on Our Planet,2020,Alastair Fothergill
David Attenborough: A Life on Our Planet,2020,Jonathan Hughes
David Attenborough: A Life on Our Planet,2020,Keith Scholey
Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker
Roma,2018,nan
To All the Boys I've Loved Before,2018,Susan Johnson
The Social Dilemma,2020,Jeff Orlowski
Okja,2017,Bong Joon Ho
The Ballad of Buster Scruggs,2018,Ethan Coen
The Ballad of Buster Scruggs,2018,Joel Coen
The Trial of the Chicago 7,2020,Aaron Sorkin
Article 15,2019,Anubhav Sinha
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,Chris Smith
Dolemite Is My Name,2019,Craig Brewer
Mudbound,2017,Dee Rees
Swades,2004,Ashutosh Gowariker
Fyre,2019,Chris Smith
Miss Americana,2020,Lana Wilson
Virunga,2014,Orlando von Einsiedel
Black Friday,2004,Anurag Kashyap
Talvar,2015,Meghna Gulzar
The King,2019,David Michôd
John Mulaney: Kid Gorgeous at Radio City,2018,Alex Timbers
I Am Mother,2019,Grant Sputore
Tell Me Who I Am,2019,nan
The Departed,2006,Martin Scorsese
Winter on Fire: Ukraine's Fight for Freedom,2015,Evgeny Afineevsky
Terminator 2: Judgment Day,1991,James Cameron
I Lost My Body,2019,Jérémy Clapin
Django Unchained,2012,Quentin Tarantino
The Half of It,2020,Alice Wu
The Boy Who Harnessed the Wind,2019,Chiwetel Ejiofor
The Devil All the Time,2020,Antonio Campos
The Fundamentals of Caring,2016,Rob Burnett
Pieces of a Woman,2020,Kornél Mundruczó
Gerald's Game,2017,Mike Flanagan
On Body and Soul,2017,Ildikó Enyedi
Shutter Island,2010,Martin Scorsese
Always Be My Maybe,2019,Nahnatchka Khan
The Intouchables,2011,Olivier Nakache
The Intouchables,2011,Éric Toledano
Bill Burr: Paper Tiger,2019,Mike Binder
Special 26,2013,Neeraj Pandey
Kiss the Ground,2020,Joshua Tickell
Kiss the Ground,2020,Rebecca Harrell Tickell
Crip Camp: A Disability Revolution,2020,James Lebrecht
Crip Camp: A Disability Revolution,2020,Nicole Newnham
Extraction,2020,Sam Hargrave
No Direction Home: Bob Dylan,2005,Martin Scorsese
Kabhi Khushi Kabhie Gham,2001,Karan Johar
His House,2020,Remi Weekes
Super Deluxe,2019,Thiagarajan Kumararaja
The Guernsey Literary & Potato Peel Pie Society,2018,Mike Newell
A Secret Love,2020,Chris Bolan
The Night Comes for Us,2018,Timo Tjahjanto
The Big Lebowski,1998,Joel Coen
The Big Lebowski,1998,Ethan Coen
Pad Man,2018,R. Balki
American Factory,2019,Steven Bognar
American Factory,2019,Julia Reichert
Bird Box,2018,Susanne Bier
The Pianist,2002,Roman Polanski
3 Idiots,2009,Rajkumar Hirani
The Distinguished Citizen,2016,Gastón Duprat
The Distinguished Citizen,2016,Mariano Cohn
A Shaun the Sheep Movie: Farmageddon,2019,Will Becher
A Shaun the Sheep Movie: Farmageddon,2019,Richard Phelan
A Clockwork Orange,1971,Stanley Kubrick
What Happened to Monday,2017,Tommy Wirkola
Anthony Jeselnik: Thoughts and Prayers,2015,Adam Dubin
The White Helmets,2016,Orlando von Einsiedel
Invader ZIM: Enter the Florpus,2019,Hae Young Jung
Invader ZIM: Enter the Florpus,2019,Young Kyun Park
Invader ZIM: Enter the Florpus,2019,Jhonen Vasquez
Happy as Lazzaro,2018,Alice Rohrwacher
Chasing Coral,2017,Jeff Orlowski
Kal Ho Naa Ho,2003,Nikkhil Advani
Pan's Labyrinth,2006,Guillermo del Toro
Team Foxcatcher,2016,Jon Greenhalgh
The Meyerowitz Stories (New and Selected),2017,Noah Baumbach
Casino Royale,2006,Martin Campbell
The Hateful Eight,2015,Quentin Tarantino
Rush,2013,Ron Howard
Zombieland,2009,Ruben Fleischer
Eurovision Song Contest: The Story of Fire Saga,2020,David Dobkin
Kapoor & Sons,2016,Shakun Batra
The Perfection,2018,Richard Shepard
Dave Chappelle: Sticks & Stones,2019,Stan Lathan
There Will Be Blood,2007,Paul Thomas Anderson
Million Dollar Baby,2004,Clint Eastwood
The Social Network,2010,David Fincher
The Christmas Chronicles,2018,Clay Kaytis
Monty Python and the Holy Grail,1975,Terry Gilliam
Monty Python and the Holy Grail,1975,Terry Jones
The Pixar Story,2007,Leslie Iwerks
Ma Rainey's Black Bottom,2020,George C. Wolfe
Calibre,2018,Matt Palmer
Silver Linings Playbook,2012,David O. Russell
Over the Moon,2020,Glen Keane
Over the Moon,2020,John Kahrs
"What Happened, Miss Simone?",2015,Liz Garbus
Nightcrawler,2014,Dan Gilroy
1922,2017,Zak Hilditch
Paddleton,2019,Alex Lehmann
Cargo,2017,Ben Howling
Cargo,2017,Yolanda Ramke
Rain Man,1988,Barry Levinson
Cuba and the Cameraman,2017,Jon Alpert
The Ritual,2017,David Bruckner
The Hater,2020,Jan Komasa
The Edge of Democracy,2019,Petra Costa
22-Jul,2018,Paul Greengrass
Adam Sandler: 100% Fresh,2018,Steven Brill
Adam Sandler: 100% Fresh,2018,Nicholaus Goossen
Guru,2007,Stephen Herek
A Twelve-Year Night,2018,Álvaro Brechner
Dumplin',2018,Anne Fletcher
The Conjuring,2013,James Wan
Marriage Story,2019,Noah Baumbach
My Octopus Teacher,2020,Pippa Ehrlich
My Octopus Teacher,2020,James Reed
About Time,2013,Richard Curtis
Hey Arnold! The Jungle Movie,2017,Raymie Muzquiz
Hey Arnold! The Jungle Movie,2017,Stu Livingston
Kung Fu Panda,2008,Mark Osborne
Kung Fu Panda,2008,John Stevenson
Superbad,2007,Greg Mottola
The Invisible Guest,2016,Oriol Paulo
Chinatown,1974,Roman Polanski
Mystic River,2003,Clint Eastwood
The Theory of Everything,2014,James Marsh
Springsteen On Broadway,2018,Thom Zimny
The Life Ahead,2020,Edoardo Ponti
The Terminal,2004,Steven Spielberg
Scott Pilgrim vs. the World,2010,Edgar Wright
Being Elmo: A Puppeteer's Journey,2011,Constance Marks
Being Elmo: A Puppeteer's Journey,2011,Philip Shane
Life of Brian,1979,Terry Jones
The Resistance Banker,2018,Joram Lürsen
How to Train Your Dragon 2,2014,Dean DeBlois
The Endless Trench,2019,Aitor Arregi
The Endless Trench,2019,Jon Garaño
The Endless Trench,2019,Jose Mari Goenaga
Even the Rain,2010,Icíar Bollaín
Love Actually,2003,Richard Curtis
Dear Ex,2018,Chih-Yen Hsu
Dear Ex,2018,Mag Hsu
Braven,2018,Lin Oeding
Period. End of Sentence.,2018,Rayka Zehtabchi
Captain Fantastic,2016,Matt Ross
Veronica,2017,Elizabeth Banks
Veronica,2017,Steven Brill
Veronica,2017,Steve Carr
Veronica,2017,Rusty Cundieff
Veronica,2017,James Duffy
Veronica,2017,Griffin Dunne
Veronica,2017,Peter Farrelly
Veronica,2017,Patrik Forsberg
Veronica,2017,Will Graham
Veronica,2017,James Gunn
Veronica,2017,Brett Ratner
Veronica,2017,Jonathan van Tulleken
Veronica,2017,Bob Odenkirk
The Siege of Jadotville,2016,Richie Smyth
Into the Inferno,2016,Werner Herzog
Ricky Gervais: Humanity,2018,John L. Spencer
A Whisker Away,2020,Jun'ichi Satô
A Whisker Away,2020,Tomotaka Shibayama
Lady Bird,2017,Greta Gerwig
Road to Perdition,2002,Sam Mendes
Boogie Nights,1997,Paul Thomas Anderson
Total Recall,1990,Paul Verhoeven
Bo Burnham: Inside,2021,Bo Burnham
Snowpiercer,2013,nan
Circus of Books,2019,Rachel Mason
Tallulah,2016,Sian Heder
The Conjuring 2,2016,James Wan
They'll Love Me When I'm Dead,2018,Morgan Neville
Nocturnal Animals,2016,Tom Ford
Get Me Roger Stone,2017,Dylan Bank
Get Me Roger Stone,2017,Daniel DiMauro
Get Me Roger Stone,2017,Morgan Pehme
Hachi: A Dog's Tale,2009,Lasse Hallström
Dances with Wolves,1990,Kevin Costner
Udta Punjab,2016,Abhishek Chaubey
Bareilly's Barfi,2017,Ashwiny Iyer Tiwari
Divines,2016,Houda Benyamina
Maktub,2017,Oded Raz
Ittefaq,2017,Abhay Chopra
Hannah Gadsby: Nanette,2018,Jon Olb
Hannah Gadsby: Nanette,2018,Madeleine Parry
Ali Wong: Hard Knock Wife,2018,Jay Karas
Seven Pounds,2008,Gabriele Muccino
Uncut Gems,2019,Benny Safdie
Uncut Gems,2019,Josh Safdie
The Kindergarten Teacher,2018,Sara Colangelo
Les Misérables,2012,Tom Hooper
The Sky Is Pink,2019,Shonali Bose
Next Gen,2018,Kevin R. Adams
Next Gen,2018,Joe Ksander
Next Gen,2018,Ricardo Curtis
Tom Segura: Disgraceful,2018,Jay Karas
My Happy Family,2017,Nana Ekvtimishvili
My Happy Family,2017,Simon Groß
The American Meme,2018,Bert Marcus
Badla,2019,Sujoy Ghosh
Okko's Inn,2018,Kitarô Kôsaka
The Willoughbys,2020,Kris Pearn
The Willoughbys,2020,Cory Evans
The Willoughbys,2020,Rob Lodermeier
Hunt for the Wilderpeople,2016,Taika Waititi
Stardust,2007,Matthew Vaughn
Wheelman,2017,Jeremy Rush
The Artist,2011,Michel Hazanavicius
On My Skin,2018,Alessio Cremonini
Gaga: Five Foot Two,2017,Chris Moukarbel
Hugo,2011,Martin Scorsese
The Impossible,2012,J.A. Bayona
War Dogs,2016,Todd Phillips
Ip Man,2008,Wilson Yip
The Speed Cubers,2020,Sue Kim
Kung Fu Panda 2,2011,Jennifer Yuh Nelson
The Dirt,2019,Jeff Tremaine
Andhadhun,2018,Sriram Raghavan
Atlantics,2019,Mati Diop
37 Seconds,2019,Hikari
El Camino: A Breaking Bad Movie,2019,Vince Gilligan
Underworld,2003,Len Wiseman
The Ring,2002,Gore Verbinski
Hold the Dark,2018,Jeremy Saulnier
The Karate Kid,1984,John G. Avildsen
Quincy,2018,nan
The Patriot,2000,Roland Emmerich
Get In,2019,Olivier Abbou
ZZ Top: That Little Ol' Band From Texas,2019,Sam Dunn
Jerry Before Seinfeld,2017,Michael Bonfiglio
Mike Birbiglia: The New One,2019,Seth Barrish
A Silent Voice: The Movie,2016,Naoko Yamada
Klaus,2019,Sergio Pablos
Klaus,2019,Carlos Martínez López
Snowden,2016,Oliver Stone
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,nan
What's Eating Gilbert Grape,1993,Lasse Hallström
The Da Vinci Code,2006,Ron Howard
Stranger Than Fiction,2006,Marc Forster
Don 2,2011,Farhan Akhtar
Elena,2013,Andrey Zvyagintsev
Real Steel,2011,Shawn Levy
The Founder,2017,John Lee Hancock
Stargate,1994,nan
Shirkers,2018,Sandi Tan
Chef,2014,Jon Favreau
Fire in the Blood,2013,Dylan Mohan Gray
Austin Powers: International Man of Mystery,1997,Jay Roach
Miles Davis: Birth of the Cool,2019,nan
Insidious,2010,James Wan
Screwball,2019,Billy Corben
The Old Guard,2020,Gina Prince-Bythewood
Rango,2011,Gore Verbinski
Before I Wake,2016,Mike Flanagan
The Disaster Artist,2017,James Franco
Fruitvale Station,2013,Ryan Coogler
The Florida Project,2017,Sean Baker
Behind the Curve,2018,Daniel J. Clark
Lawless,2012,John Hillcoat
Errementari: The Blacksmith and the Devil,2018,Paul Urkijo Alijo
Audrie & Daisy,2016,Bonni Cohen
Audrie & Daisy,2016,Jon Shenk
Quantum of Solace,2008,Marc Forster
The Master,2012,Paul Thomas Anderson
Layer Cake,2004,Matthew Vaughn
Flipped,2010,Rob Reiner
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,Marcus Raboy
Friends with Benefits,2011,Will Gluck
Tig,2015,Kristina Goolsby
Tig,2015,Ashley York
Roll Red Roll,2019,Nancy Schwartzman
Enola Holmes,2020,Harry Bradbeer
PK,2015,Rajkumar Hirani
Good Time,2017,Benny Safdie
Good Time,2017,Josh Safdie
The Next Three Days,2010,Paul Haggis
Miracle in Cell No. 7,2019,Mehmet Ada Öztekin
Like Stars on Earth,2007,Aamir Khan
Like Stars on Earth,2007,Amole Gupte
Trixie Mattel: Moving Parts,2019,Nicholas Zeig-Owens
Talaash,2012,Reema Kagti
Talaash,2012,Priyamvada Narayanan
Evelyn,2019,Bruce Beresford
I Am Sam,2001,Jessie Nelson
In the Shadow of the Moon,2019,Jim Mickle
Neon Genesis Evangelion: The End of Evangelion,1997,Hideaki Anno
Neon Genesis Evangelion: The End of Evangelion,1997,Kazuya Tsurumaki
Memoirs of a Geisha,2005,Rob Marshall
Mad Max,1979,George Miller
John Leguizamo's Latin History for Morons,2018,Aram Rappaport
And Breathe Normally,2018,Isold Uggadottir
The Killing of a Sacred Deer,2017,Yorgos Lanthimos
Angels & Demons,2009,Ron Howard
Smoke & Mirrors,2016,Alberto Rodríguez
Bright,2017,David Ayer
Yes Man,2008,Peyton Reed
Murder Mystery,2019,Kyle Newacheck
Pink,2016,Aniruddha Roy Chowdhury
The Photographer of Mauthausen,2018,Mar Targarona
Midnight Run,1988,Martin Brest
Flavors of Youth,2018,Haoling Li
Flavors of Youth,2018,Yoshitaka Takeuch
Flavors of Youth,2018,Xiaoxing Yi
13th,2016,Ava DuVernay
Ravenous,2017,Antonia Bird
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach
The Life of David Gale,2003,Alan Parker
Tramps,2016,Adam Leon
The Girl Next Door,2004,Luke Greenfield
The Two Popes,2019,Fernando Meirelles
The Wandering Earth,2019,Frant Gwo
Just Another Love Story,2007,Ole Bornedal
Eye for an Eye,2019,Francesco Cinquemani
Eye for an Eye,2019,George Gallo
Patton Oswalt: Annihilation,2017,Bobcat Goldthwait
Joan Didion: The Center Will Not Hold,2017,Griffin Dunne
Steve Jobs,2015,Danny Boyle
White Fang,2018,Randal Kleiser
A Monster Calls,2016,J.A. Bayona
Olympus Has Fallen,2013,Antoine Fuqua
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay
The Time Traveler's Wife,2009,Robert Schwentke
State of Play,2009,Kevin Macdonald
The Outlaw Josey Wales,1976,Clint Eastwood
The Bank Job,2008,Roger Donaldson
Miss Sloane,2016,John Madden
Unknown,2011,Jaume Collet-Serra
6 Underground,2019,Michael Bay
Uncorked,2020,Prentice Penny
Petta,2019,Karthik Subbaraj
Justin Timberlake + The Tennessee Kids,2016,Jonathan Demme
My Fair Lady,1964,George Cukor
"Bikram: Yogi, Guru, Predator",2019,Eva Orner
A Futile and Stupid Gesture,2018,David Wain
The Dig,2021,Simon Stone
Legally Blonde,2001,Robert Luketic
Legend,2015,Brian Helgeland
Notes on Blindness,2016,Peter Middleton
Notes on Blindness,2016,James Spinney
When We First Met,2018,Ari Sandel
Best Worst Thing That Ever Could Have Happened...,2016,Lonny Price
Imperial Dreams,2014,Malik Vitthal
Black Mirror: Bandersnatch,2018,David Slade
Queen,2013,Vikas Bahl
Joshua: Teenager vs. Superpower,2017,Joe Piscatella
Air Force One,1997,Wolfgang Petersen
Shot Caller,2017,Ric Roman Waugh
What Dreams May Come,1998,Vincent Ward
Angel Has Fallen,2019,Ric Roman Waugh
Crimson Peak,2015,Guillermo del Toro
Lemony Snicket's A Series of Unfortunate Events,2004,nan
The Red Sea Diving Resort,2019,Gideon Raff
The Angel,2018,Ariel Vromen
Army of the Dead,2021,Zack Snyder
Madagascar 3: Europe's Most Wanted,2012,Eric Darnell
Madagascar 3: Europe's Most Wanted,2012,Tom McGrath
Madagascar 3: Europe's Most Wanted,2012,Conrad Vernon
Icarus,2017,Bryan Fogel
Collateral Beauty,2016,David Frankel
The Danish Girl,2015,Tom Hooper
Green Zone,2010,Paul Greengrass
John Mulaney: New in Town,2012,Ryan Polito
John Mulaney: New in Town,2012,Jake Szymanski
Strong Island,2017,Yance Ford
The White Tiger,2021,Ramin Bahrani
Defiance,2008,nan
A Fortunate Man,2018,Bille August
The Death of Stalin,2017,Armando Iannucci
2012,2009,Roland Emmerich
Underworld: Awakening,2012,Måns Mårlind
Underworld: Awakening,2012,Björn Stein
Philomena,2013,Stephen Frears
Sanju,2018,Rajkumar Hirani
Nappily Ever After,2018,Haifaa Al-Mansour
I Care a Lot,2021,J Blakeson
The Butler,2013,Lee Daniels
Qarib Qarib Singlle,2017,Tanuja Chandra
A Single Man,2009,Tom Ford
Home,2015,Tim Johnson
Zack and Miri Make a Porno,2008,Kevin Smith
Seeing Allred,2018,Roberta Grossman
Seeing Allred,2018,Sophie Sartain
Dostana,2008,Tarun Mansukhani
Remember Me,2010,Lee Unkrich
Remember Me,2010,Adrian Molina
Underworld: Rise of the Lycans,2009,Patrick Tatopoulos
The Lovely Bones,2009,Peter Jackson
Madagascar: Escape 2 Africa,2008,Eric Darnell
Madagascar: Escape 2 Africa,2008,Tom McGrath
No Strings Attached,2011,Ivan Reitman
Heroin(e),2017,Elaine McMillion Sheldon
A Ghost Story,2017,David Lowery
Safety Not Guaranteed,2012,Colin Trevorrow
Game Over,2019,Todd Holland
Peppermint,2018,Pierre Morel
Have a Good Trip: Adventures in Psychedelics,2020,Donick Cary
Beasts of No Nation,2015,Cary Joji Fukunaga
Extinction,2018,Ben Young
Nobody Knows I'm Here,2020,Gaspar Antillo
ARQ,2016,Tony Elliott
Ali's Wedding,2017,Jeffrey Walker
Bo Burnham: Make Happy,2016,Bo Burnham
Bo Burnham: Make Happy,2016,Christopher Storer
Mank,2020,David Fincher
"Extremely Wicked, Shockingly Evil and Vile",2019,Joe Berlinger
Due Date,2010,Todd Phillips
Between Two Ferns: The Movie,2019,Scott Aukerman
Ip Man 2,2010,Wilson Yip
Mirage,2018,Oriol Paulo
Puss in Boots,2011,Chris Miller
Austin Powers in Goldmember,2002,Jay Roach
The Kissing Booth,2018,Vince Marcello
Hush,2016,Mike Flanagan
Lost Bullet,2020,Guillaume Pierret
