Titulo,Ano,Genero
The Irishman,2019,Biography
The Irishman,2019,Crime
The Irishman,2019,Drama
Dangal,2016,Action
Dangal,2016,Biography
Dangal,2016,Drama
Dangal,2016,Sport
David Attenborough: A Life on Our Planet,2020,Documentary
David Attenborough: A Life on Our Planet,2020,Biography
Lagaan: Once Upon a Time in India,2001,Drama
Lagaan: Once Upon a Time in India,2001,Musical
Lagaan: Once Upon a Time in India,2001,Sport
Roma,2018,Action
Roma,2018,Drama
Roma,2018,History
Roma,2018,Romance
Roma,2018,War
To All the Boys I've Loved Before,2018,Comedy
To All the Boys I've Loved Before,2018,Drama
To All the Boys I've Loved Before,2018,Romance
The Social Dilemma,2020,Documentary
The Social Dilemma,2020,Drama
Okja,2017,Action
Okja,2017,Adventure
Okja,2017,Drama
Okja,2017,Sci-Fi
The Ballad of Buster Scruggs,2018,Comedy
The Ballad of Buster Scruggs,2018,Drama
The Ballad of Buster Scruggs,2018,Musical
The Ballad of Buster Scruggs,2018,Mystery
The Ballad of Buster Scruggs,2018,Romance
The Ballad of Buster Scruggs,2018,Western
The Trial of the Chicago 7,2020,Drama
The Trial of the Chicago 7,2020,History
The Trial of the Chicago 7,2020,Thriller
Article 15,2019,Crime
Article 15,2019,Drama
Article 15,2019,Mystery
Article 15,2019,Thriller
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,Documentary
Dolemite Is My Name,2019,Biography
Dolemite Is My Name,2019,Comedy
Dolemite Is My Name,2019,Drama
Mudbound,2017,Drama
Mudbound,2017,War
Swades,2004,Drama
Fyre,2019,Documentary
Fyre,2019,Crime
Fyre,2019,Music
Miss Americana,2020,Documentary
Miss Americana,2020,Biography
Miss Americana,2020,Music
Virunga,2014,Documentary
Virunga,2014,War
Black Friday,2004,Action
Black Friday,2004,Crime
Black Friday,2004,Drama
Black Friday,2004,History
Talvar,2015,Crime
Talvar,2015,Drama
Talvar,2015,Mystery
Talvar,2015,Thriller
The King,2019,Biography
The King,2019,Drama
The King,2019,History
The King,2019,Romance
The King,2019,War
John Mulaney: Kid Gorgeous at Radio City,2018,Comedy
I Am Mother,2019,Drama
I Am Mother,2019,Mystery
I Am Mother,2019,Sci-Fi
I Am Mother,2019,Thriller
Tell Me Who I Am,2019,Drama
Tell Me Who I Am,2019,Thriller
The Departed,2006,Crime
The Departed,2006,Drama
The Departed,2006,Thriller
Winter on Fire: Ukraine's Fight for Freedom,2015,Documentary
Terminator 2: Judgment Day,1991,Action
Terminator 2: Judgment Day,1991,Sci-Fi
I Lost My Body,2019,Animation
I Lost My Body,2019,Drama
I Lost My Body,2019,Fantasy
I Lost My Body,2019,Romance
Django Unchained,2012,Drama
Django Unchained,2012,Western
The Half of It,2020,Comedy
The Half of It,2020,Drama
The Half of It,2020,Romance
The Boy Who Harnessed the Wind,2019,Biography
The Boy Who Harnessed the Wind,2019,Drama
The Boy Who Harnessed the Wind,2019,History
The Devil All the Time,2020,Crime
The Devil All the Time,2020,Drama
The Devil All the Time,2020,Thriller
The Fundamentals of Caring,2016,Comedy
The Fundamentals of Caring,2016,Drama
Pieces of a Woman,2020,Drama
Gerald's Game,2017,Drama
Gerald's Game,2017,Horror
Gerald's Game,2017,Thriller
On Body and Soul,2017,Drama
